L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(2, -3), (3, 1), (4, 1), (2, -1), (3, 2), (3, -2), (2, 1), (3, -1), (1, -4), (1, -3), (1, 0), (1, -2), (4, -1)]",s798,"[(1, 0)]","(1, 2)","[(-1, -4), (2, 3), (-1, -3)]",1057
"[(-1, 1), (-1, 0), (-1, -2)]",s799,"[(-1, 1), (-1, 0)]","(9, -64)",[],1058
"[(0, -1), (1, 0), (2, -1), (3, -1)]",s800,"[(0, -1), (1, 0)]","(70, 1)",[],1059
"[(1, 0)]",s801,"[(1, 0)]","(1, 1)","[(0, -1), (3, 1), (1, -1)]",1060
"[(-5, -1), (-1, 0), (-3, -1), (-2, -1), (-1, -3), (-4, -1), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -2), (-5, -3)]",s802,"[(-1, 0)]","(1, -1)","[(-2, 1), (2, -3), (-3, 1), (-4, 1), (1, -3), (1, -2), (-3, 2)]",1061
"[(-1, 0), (-2, -3), (-1, -3), (0, -1)]",s803,"[(-1, 0), (0, -1)]","(41, -55)","[(2, -3), (1, -4), (1, -3), (1, -2)]",1062
"[(0, -1), (-1, 0)]",s804,"[(0, -1), (-1, 0)]","(50, -49)",[],1063
"[(3, -2), (2, -1), (1, -3), (5, 2), (3, 1), (3, -1), (1, -1), (4, 1), (0, -1), (1, 0), (1, -2), (2, -3)]",s805,"[(0, -1), (1, 0)]","(13, 16)","[(-3, -4), (3, 2), (-1, -4), (-1, -3), (4, 3), (-1, -2), (-2, -3), (5, 3)]",1064
"[(4, 1), (3, 1), (3, 2), (2, 1), (4, 3), (1, 0)]",s806,"[(1, 0)]","(3, 11)","[(1, 2), (2, -1), (2, -3), (1, 3), (3, -1), (1, -1), (-1, -4), (2, 3), (3, -2), (3, 4), (1, -3), (1, -2), (4, -1)]",1065
"[(1, -1), (-1, 0)]",s807,"[(1, -1), (-1, 0)]","(78, -11)",[],1066
"[(-3, 1), (-1, 0), (0, -1)]",s808,"[(-1, 0), (0, -1)]","(71, -51)","[(-3, 2)]",1067
"[(1, 0), (1, -1)]",s809,"[(1, 0), (1, -1)]","(61, 14)","[(-2, -1)]",1068
"[(0, -1), (-1, 0)]",s810,"[(0, -1), (-1, 0)]","(17, -28)","[(1, -2)]",1069
"[(2, -3), (-1, 0), (1, -2), (3, -4), (1, -4), (0, -1), (1, -3), (1, -1)]",s811,"[(-1, 0), (0, -1), (1, -1)]","(64, -57)",[],1070
"[(0, -1), (1, 0), (1, 1), (-1, -2)]",s812,"[(0, -1), (1, 0), (1, 1)]","(5, 6)",[],1071
"[(3, -1), (-3, -4), (3, 1), (-1, -2), (2, -1), (-1, -3), (-1, -4), (2, 1), (3, -2), (1, -2), (-1, -1), (4, 1), (1, -3), (1, 0), (0, -1), (5, 2), (4, -1), (2, -3), (-2, -3)]",s813,"[(-1, -1), (1, 0), (0, -1)]","(16, 11)","[(-4, -3), (3, 2)]",1072
"[(4, -3), (-1, 0), (-3, -1), (2, -1), (-2, -3), (-3, -2), (3, -4), (3, -2), (-2, -1), (0, -1), (-4, -1)]",s814,"[(-1, 0), (0, -1)]","(65, -19)","[(3, -1), (-4, 1)]",1073
"[(2, -1), (3, -1), (3, -2), (0, -1), (1, 0), (4, -1)]",s815,"[(0, -1), (1, 0)]","(47, 12)","[(-3, -1), (-2, -1), (4, 1)]",1074
"[(0, -1), (1, 0)]",s816,"[(0, -1), (1, 0)]","(11, 2)",[],1075
"[(-4, -1), (-3, -2), (0, -1), (-3, -1), (-1, -3), (-2, -3), (-5, -2), (-1, -2), (-5, -1)]",s817,"[(0, -1)]","(5, -3)","[(-2, 1), (-5, 1), (-3, 1), (1, -1), (2, -3), (3, -2), (-4, 1), (1, -3), (1, -2)]",1076
"[(3, -2), (2, -3), (2, -1), (1, -2), (1, -1), (1, -3), (0, -1)]",s818,"[(0, -1)]","(1, 1)","[(3, 1)]",1077
"[(-1, 0)]",s819,"[(-1, 0)]","(1, -1)","[(-2, 1), (-5, 1), (-4, -1), (-3, -1), (-1, -2), (2, -3), (-1, -3), (-3, 1), (-4, 1), (-2, -3), (-5, -1), (-2, -1), (1, -3), (-5, 2), (1, -2), (-3, -2), (-3, 2)]",1078
"[(3, -1), (-3, -4), (2, -1), (2, -3), (3, -2), (-1, -4), (-1, -3), (-2, -3), (1, -2), (-1, -2), (1, -3), (4, -1)]",s820,[],"(5, 2)","[(-3, -2), (-2, -1), (3, 1), (-4, -3), (4, 1)]",1079
"[(5, -1), (0, -1), (2, -3), (-4, -1), (-3, -2), (2, -1), (-1, 0), (-1, -2), (3, -1), (-3, -1), (-2, -3), (3, -2), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1), (-1, -3)]",s821,"[(0, -1), (-1, 0)]","(26, -1)",[],1080
"[(1, -1), (-2, 1), (-1, 0)]",s822,"[(1, -1), (-1, 0)]","(43, -30)","[(-3, 2)]",1081
"[(-1, 0)]",s823,"[(-1, 0)]","(8, -1)","[(5, -1), (-5, -2), (-7, -1), (-4, -1), (-3, -2), (-2, -1), (3, -1), (6, -1), (-3, -1), (7, -1), (-6, -1), (3, -2), (-5, -1), (-1, -2), (1, -2), (4, -1)]",1082
"[(1, 0), (1, 1)]",s824,"[(1, 0), (1, 1)]","(5, 32)",[],1083
"[(0, -1), (-1, 1), (-1, 0)]",s825,"[(0, -1), (-1, 1), (-1, 0)]","(13, -38)",[],1084
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (-1, -2), (-2, -3), (-1, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-3, -2), (-1, 0)]",s826,"[(0, -1), (-1, 0)]","(43, -16)","[(4, -3), (3, -2), (-3, 1), (-4, 1)]",1085
"[(0, -1), (-4, -1), (-1, -4), (-3, -2), (-1, -3), (-2, -3), (1, -4), (-2, -1), (1, -3), (1, -2), (-3, -1), (-1, 0)]",s827,"[(0, -1), (-1, 0)]","(16, -15)","[(-2, 1), (-3, 2), (2, -3), (-3, 1), (-4, 1)]",1086
"[(2, -3), (-1, 0), (-3, -1), (-2, 1), (-3, 1), (-4, 1), (0, -1), (3, -4), (1, -1), (-4, -1)]",s828,"[(-1, 0), (0, -1), (1, -1)]","(4, -3)","[(-3, 2)]",1087
"[(0, -1), (1, 0), (-2, -1)]",s829,"[(0, -1), (1, 0)]","(75, 11)",[],1088
"[(1, 0), (2, -1), (-1, -1)]",s830,"[(1, 0), (-1, -1)]","(37, 2)",[],1089
"[(-3, -4), (-4, -1), (1, -3), (-3, -1), (1, -2), (-1, -2), (-1, -4), (-2, -3), (-1, -3), (-5, -1), (-2, -1), (-4, -3), (0, -1), (1, -1), (-3, -2), (2, -3)]",s832,"[(0, -1)]","(14, -3)","[(3, -1), (2, -1), (3, -2), (4, -1)]",1090
"[(0, -1), (1, 0), (2, 1)]",s833,"[(0, -1), (1, 0)]","(45, 61)",[],1091
"[(0, -1), (1, 0)]",s834,"[(0, -1), (1, 0)]","(13, 32)",[],1092
"[(3, -2), (3, 2), (3, 1), (2, -1), (2, -3), (3, -1), (1, -4), (1, -3), (1, 0), (0, -1), (4, 1), (4, -1), (2, 1)]",s835,"[(1, 0), (0, -1)]","(32, 37)","[(-1, -3), (-1, -4), (-2, -3), (-1, -2)]",1093
"[(-1, 0)]",s836,"[(-1, 0)]","(6, -1)","[(5, -1), (5, -2), (-5, -1), (-4, -1), (-3, -2), (3, -1), (-3, -1), (4, -3), (-2, -1), (4, -1)]",1094
"[(-1, 0)]",s837,"[(-1, 0)]","(1, -1)","[(-5, 1), (-4, -1), (-3, -1), (-3, 1), (-4, 1), (-5, -1), (-5, 2)]",1095
"[(2, -3), (1, -1), (3, -2), (3, -1), (1, -2), (4, -1)]",s838,[],"(1, 1)",[],1096
"[(3, -2), (-3, -4), (-5, -2), (-4, -1), (-3, -1), (1, -2), (2, -1), (-1, -2), (3, -1), (-1, -4), (-2, -3), (-1, -3), (-5, -1), (-2, -1), (-4, -3), (1, -3), (1, -1), (-3, -2)]",s839,[],"(47, -6)","[(4, -1)]",1097
"[(3, -1), (2, -3), (-3, -2), (1, -3), (1, -1), (2, -1), (3, -2), (-1, -4), (-1, -3), (-2, -3), (1, -4), (-1, -2), (-4, -3), (0, -1), (1, 0), (1, -2), (4, -1)]",s840,"[(0, -1), (1, 0)]","(47, 8)","[(-4, -1), (-3, -1)]",1098
"[(1, 0)]",s841,"[(1, 0)]","(22, 1)","[(5, -2), (5, -1), (-4, -1), (-3, -1), (1, -1), (2, -1), (3, -1), (6, -1), (-3, -2), (-2, -3), (-6, -1), (3, -2), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1), (-1, -3)]",1099
"[(-1, 0), (-1, -2)]",s842,"[(-1, 0)]","(18, -53)",[],1100
"[(0, -1), (-3, -4), (-5, -1), (-1, 0), (-1, -4), (-3, -1), (-2, -3), (-1, -3), (-5, -2), (-1, -2), (-4, -3), (-3, -2), (-4, -1)]",s844,"[(0, -1), (-1, 0)]","(21, -19)","[(1, -2), (-3, 2), (-2, 1), (-3, 1), (-4, 1), (1, -3), (1, -1)]",1101
"[(1, -3), (2, -3), (1, -2), (2, -1), (3, -2), (-1, -4), (-2, -3), (3, -1), (-1, -2), (1, 0), (0, -1), (4, -1), (-1, -3)]",s845,"[(1, 0), (0, -1)]","(44, 17)","[(3, 1), (-4, -3), (5, 1), (4, 1)]",1102
"[(0, -1), (-3, -4), (-4, -1), (-3, -2), (2, -3), (-2, -1), (-2, -3), (-1, -4), (-1, -3), (1, -4), (-1, -2), (-4, -3), (1, -3), (1, -2), (-3, -1), (-1, 0)]",s846,"[(0, -1), (-1, 0)]","(31, -27)","[(-3, 1), (-2, 1), (-4, 1), (-3, 2)]",1103
"[(0, -1), (-4, -1), (-2, -1), (-3, -2), (-1, -1), (-1, -4), (-1, -3), (-2, -3), (-1, -2), (-3, -1)]",s847,"[(0, -1)]","(2, -5)","[(-2, 1), (-1, 2), (-1, 1)]",1104
"[(1, -1), (1, -2), (-1, 0)]",s848,"[(1, -1), (-1, 0)]","(87, -59)",[],1105
"[(-3, -4), (-5, -1), (-4, -1), (-3, -2), (1, -2), (2, -1), (2, -3), (3, -1), (-1, -4), (-1, -3), (3, -2), (-5, -2), (-2, -1), (-4, -3), (1, -3), (1, 0), (-3, -1), (4, -1), (-2, -3)]",s849,"[(1, 0)]","(40, 1)",[],1106
"[(2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, -3), (-2, -3), (1, -4), (-1, -2), (1, -3), (1, -2), (-3, -2), (-1, 0)]",s850,"[(-1, 0)]","(13, -9)","[(4, -3), (-2, 1), (-3, 1), (-4, 1), (-3, 2)]",1107
"[(0, -1), (1, -1), (-1, 0)]",s851,"[(0, -1), (1, -1), (-1, 0)]","(77, -34)",[],1108
"[(0, -1), (-1, 0)]",s852,"[(0, -1), (-1, 0)]","(37, -62)",[],1109
