L_space_fillings,name,finite_fillings,longitude,non_L_space_fillings,id
"[(-1, 0)]",v3112,"[(-1, 0)]","(6, -13)",[],4205
"[(0, -1), (2, -3), (-2, -3), (1, -2), (2, -1), (-1, -1), (3, -2), (-1, -4), (-1, -3), (3, -1), (-1, -2), (1, -3), (1, 0), (4, -1)]",v3116,"[(0, -1), (1, 0)]","(47, 26)","[(3, 1), (-3, -2), (4, 1), (2, 1)]",4206
"[(0, -1), (-3, -4), (-4, -1), (-3, -1), (-1, -4), (-1, -3), (-2, -3), (-1, -2), (-4, -3), (-3, -2)]",v3117,"[(0, -1)]","(27, -13)","[(-3, 1), (1, -1), (2, -1), (2, -3), (3, -2), (-4, 1), (1, -3), (1, -2)]",4207
"[(-3, -4), (2, -3), (-1, -3), (-1, -4), (-2, -3), (-1, -2), (1, -3), (1, 0), (1, -2)]",v3118,"[(1, 0)]","(22, 7)","[(-3, -2), (-4, -3)]",4208
"[(-4, -1), (-3, 1), (-3, -2), (-3, -4), (-3, -1), (-1, -4), (-1, -3), (-4, 1), (-2, -3), (-2, 1), (-4, -3), (-1, 0)]",v3119,"[(-1, 0)]","(43, -51)","[(1, -3), (2, -3), (-3, 2), (1, -2)]",4209
"[(4, -3), (5, -1), (2, -3), (2, -1), (1, -2), (3, -2), (3, -4), (1, -4), (1, -3), (1, 0), (3, -1), (4, -1), (0, -1)]",v3120,"[(1, 0), (0, -1)]","(15, 11)","[(3, 1), (-1, -2), (3, 2), (-1, -3), (2, 1), (-2, -3), (-1, -1), (4, 1)]",4210
"[(-3, -4), (-1, 0), (-3, -2), (-2, -3), (-1, -4), (-1, -3), (-5, -2), (-1, -1), (-4, -3), (1, -3)]",v3121,"[(-1, 0), (-1, -1)]","(3, -1)",[],4211
"[(3, -2), (2, -3), (2, -1), (1, -2), (3, 1), (3, 2), (3, -1), (2, 1), (4, 3), (1, -3), (5, 1), (1, 0), (4, 1), (4, -1)]",v3122,"[(1, 0)]","(5, 11)","[(1, 2), (-1, -3), (2, 3)]",4212
"[(4, -3), (3, 2), (3, 1), (2, -3), (2, 1), (1, 1), (3, -4), (1, -4), (0, -1), (1, -3), (1, 0), (4, -1)]",v3123,"[(0, -1), (1, 0)]","(13, 75)","[(1, 2), (1, 3)]",4213
"[(-5, 1), (-4, -1), (-3, -2), (-2, -1), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-1, -2), (-5, 2), (-3, -1), (-1, 0)]",v3124,"[(-1, 0)]","(14, -11)","[(2, -3), (-4, 3), (1, -4), (1, -3), (1, -2), (-3, 2)]",4214
"[(4, -3), (3, -1), (-1, -3), (3, -4), (1, -4), (-1, -2), (1, -3), (1, 0), (4, -1)]",v3125,"[(1, 0)]","(57, 44)","[(3, 2), (3, 1), (2, 1), (-2, -3), (4, 1)]",4215
"[(3, -2), (3, 2), (3, 1), (2, -1), (2, 1), (3, -1), (4, 3), (1, 0), (4, 1), (4, -1)]",v3126,"[(1, 0)]","(0, 1)","[(1, 2), (1, -2), (2, -3), (1, 3), (2, 3), (1, -3)]",4216
"[(4, -3), (2, -3), (3, 1), (2, 1), (1, -2), (2, -1), (3, -2), (3, -1), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v3128,"[(1, 0)]","(1, 1)","[(3, 2), (-2, -3), (-1, -2), (-1, -3)]",4217
"[(5, -1), (5, -2), (2, -3), (-4, -1), (-3, -2), (-2, -1), (2, -1), (-1, -1), (3, -2), (4, -3), (-3, -1), (-1, -3), (3, -4), (3, -1), (1, -4), (-1, -2), (1, -3), (4, -1), (-1, 0)]",v3129,"[(-1, 0)]","(19, -1)",[],4218
"[(4, -3), (2, -3), (-4, -1), (-3, -2), (2, -1), (-1, -3), (-3, -1), (-2, -3), (3, -2), (3, -4), (1, -4), (-2, -1), (1, -3), (-1, 0)]",v3130,"[(-1, 0)]","(21, -2)","[(5, -1), (3, -1), (4, -1)]",4219
"[(1, 0)]",v3131,"[(1, 0)]","(95, 27)",[],4220
"[(-1, 0), (-3, -2), (-2, -3), (-3, -1), (-5, -1), (-1, -2), (-3, -4), (-5, -2), (-4, -3), (-1, -3), (-4, -1), (-2, -1), (-1, -4), (0, -1)]",v3132,"[(-1, 0), (0, -1)]","(27, -7)","[(3, -1), (1, -2), (2, -3), (1, -1), (1, -3), (2, -1), (3, -2), (-4, 1)]",4221
[],v3133,[],"(12, -5)","[(4, -3), (2, -3), (-5, 1), (-4, -1), (-6, 1), (-3, -1), (-2, -1), (-1, -2), (-1, -3), (-3, 1), (-4, 1), (-5, -1), (-1, -1), (1, -3), (-5, 2), (-3, -2)]",4222
"[(-4, -1), (-3, -2), (3, -1), (-3, -1), (-2, -1), (-4, -3), (-1, 0)]",v3134,"[(-1, 0)]","(83, -7)","[(4, -1)]",4223
"[(5, -1), (3, -1), (2, -3), (1, -3), (3, -2), (1, 0), (1, -2), (4, -1)]",v3136,"[(1, 0)]","(2, 1)","[(-3, -2), (4, 1), (3, 1), (-2, -3), (-1, -3), (-1, -2)]",4224
"[(-2, 1), (-4, -1), (-1, -4), (-3, -1), (-1, -3), (-3, 1), (-4, 1), (-2, -3), (-2, -1), (-3, -2), (-1, 0)]",v3137,"[(-1, 0)]","(23, -24)","[(-1, 1), (-3, 2), (2, -3), (1, -4), (1, -3), (1, -2)]",4225
"[(0, -1), (-5, 1), (-4, -1), (-3, -1), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-2, -1), (-5, 2), (-3, -2), (-1, 0)]",v3138,"[(0, -1), (-1, 0)]","(19, -13)","[(4, -3), (2, -3), (3, -4), (1, -3), (-3, 2)]",4226
"[(-1, 0), (-4, 3), (-3, 1), (-3, 2)]",v3139,"[(-1, 0)]","(39, -76)","[(-2, 3), (-3, 4), (1, -2)]",4227
"[(-5, -2), (-1, 0), (-1, -4), (-3, -2), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (-4, -3), (-3, -1), (-4, -1)]",v3141,"[(-1, 0)]","(17, -10)","[(3, -2), (-3, 1), (-4, 1)]",4228
"[(4, -3), (5, -2), (2, -3), (-4, -1), (-3, -1), (-1, -1), (2, -1), (5, -1), (-1, -2), (3, -2), (6, -1), (-3, -2), (-1, -3), (3, -1), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1), (-1, 0)]",v3142,"[(-1, 0)]","(43, -3)",[],4229
"[(0, -1), (-3, -2), (-1, -2), (-2, -1), (-2, -3), (-1, -3), (-1, -1), (-3, -1)]",v3143,"[(0, -1)]","(11, -8)","[(4, -3), (-2, 1), (2, -3), (1, -1), (-3, 1), (-4, 1), (1, -3), (-5, 2), (1, -2), (-3, 2)]",4230
"[(1, 0)]",v3144,"[(1, 0)]","(11, 3)","[(-3, -2), (3, -1), (1, -1), (4, -1), (1, -2), (-3, -1), (-1, -1), (-2, -1), (2, -1), (3, -2), (0, -1)]",4231
"[(4, -3), (3, -2), (2, -3), (2, -1), (3, -1), (3, -4), (1, -4), (1, -3), (4, -1)]",v3145,[],"(3, 2)","[(3, 1), (-1, -4), (-1, -3), (2, 1), (-1, -2), (4, 1), (-2, -3)]",4232
"[(1, 0), (1, -2)]",v3146,"[(1, 0)]","(81, 46)",[],4233
"[(-4, -1), (-1, -4), (-1, -3), (-2, -3), (-2, -1), (-4, -3), (-3, -1), (-3, -2), (-1, 0)]",v3147,"[(-1, 0)]","(9, -19)","[(-2, 1), (-2, 3), (-1, 2), (-1, 1), (-3, 1), (-4, 1), (1, -4), (1, -3), (-3, 2)]",4234
"[(1, 0)]",v3149,"[(1, 0)]","(51, 10)",[],4235
"[(2, -3), (0, -1), (-1, -3), (3, -4), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2)]",v3150,"[(0, -1), (1, 0)]","(89, 19)",[],4236
"[(-3, -4), (-4, -1), (-3, -1), (2, -3), (-2, -3), (-1, -4), (-1, -3), (-2, -1), (-4, -3), (1, -3), (1, -2), (-3, -2), (-1, 0)]",v3151,"[(-1, 0)]","(58, -41)","[(-2, 1), (-3, 1), (-3, 2), (-4, 1)]",4237
"[(1, -3), (2, -3), (1, -2)]",v3152,[],"(41, 65)",[],4238
"[(-1, 0)]",v3153,"[(-1, 0)]","(103, -20)",[],4239
"[(-4, -1), (-3, -1), (-2, -1), (-1, -2), (-1, -3), (-2, -3), (-1, -1), (-3, -2)]",v3154,[],"(8, -9)","[(2, -3), (-5, 1), (-3, 1), (-4, 3), (-4, 1), (1, -3), (-5, 2), (1, -2), (-3, 2)]",4240
"[(0, -1)]",v3155,"[(0, -1)]","(119, -24)",[],4241
"[(0, -1), (2, -1), (-3, -4), (3, -2), (-1, -4), (-1, -3), (3, -1), (2, -3), (1, -3), (1, 0), (4, -1), (-2, -3)]",v3156,"[(0, -1), (1, 0)]","(9, 7)","[(3, 2), (3, 1), (4, 3), (4, 1)]",4242
"[(1, 0)]",v3157,"[(1, 0)]","(19, 7)","[(5, -1), (1, -3), (2, -1), (-4, -3), (3, 1), (3, -2), (-3, -2), (-2, -3), (3, -1), (-5, -2), (-2, -1), (5, 1), (4, 1), (4, -1), (-1, -3)]",4243
"[(-1, 0)]",v3158,"[(-1, 0)]","(1, -13)","[(-2, 1), (-5, 1), (-4, -1), (-3, 1), (-1, 3), (-1, -1), (-1, 2), (-2, -1), (-3, -2), (-2, 3), (-4, 3), (-3, 2), (-1, -3), (-5, -1), (-1, -2), (-4, 1), (-5, 2), (-3, -1), (-2, -3)]",4244
"[(-1, 0)]",v3160,"[(-1, 0)]","(16, -7)","[(-3, -2), (-3, -1), (-5, -1), (-2, -1), (-4, -1)]",4245
"[(3, -1), (2, -3), (-1, -1), (-3, -4), (3, -2), (-1, -2), (-1, -4), (-2, -3), (-1, -3), (1, -3), (1, 0), (4, -1)]",v3161,"[(-1, -1), (1, 0)]","(43, 16)","[(-3, -2), (3, 1), (-2, -1), (-4, -3), (4, 1)]",4246
"[(-5, -1), (-1, 0), (-3, -1), (1, -1), (2, -1), (-1, -2), (3, -2), (-4, -1), (-3, -2), (-1, -3), (-6, -1), (3, -1), (-5, -2), (-2, -1), (-4, -3), (1, -3), (1, -2), (-2, -3)]",v3162,"[(-1, 0)]","(18, -1)",[],4247
"[(1, 0)]",v3164,"[(1, 0)]","(24, 97)",[],4248
"[(-1, 0)]",v3165,"[(-1, 0)]","(4, -5)","[(-1, 1), (-5, 1), (-4, -1), (-3, -2), (-2, 1), (-1, -2), (2, -3), (-2, -3), (-3, 1), (-4, 1), (-1, -3), (-5, -1), (-2, -1), (1, -3), (1, -2), (-3, -1), (-3, 2)]",4249
"[(2, -3), (-1, -2), (-1, -4), (-2, -3), (-1, -3), (1, -4), (1, -3), (1, -2)]",v3166,[],"(13, -2)","[(3, -2), (-4, -1), (-3, -2), (2, -1), (3, -1), (4, -1), (-2, -1), (-4, -3), (-3, -1)]",4250
"[(2, -3), (1, -2), (0, -1), (-1, -3), (-1, -4), (-1, -2), (1, -3), (1, 0), (1, -1)]",v3167,"[(0, -1), (1, 0)]","(44, 15)",[],4251
"[(3, -2), (2, -1), (3, -1), (1, -1), (1, 0), (4, -1)]",v3168,"[(1, 0)]","(1, 1)","[(3, 1)]",4252
"[(-1, 0)]",v3169,"[(-1, 0)]","(1, -1)","[(-1, -1), (-3, 1)]",4253
"[(5, -2), (5, -1), (3, -1), (3, -2), (4, -3), (1, 0), (4, -1)]",v3170,"[(1, 0)]","(35, 22)","[(-3, -2), (3, 1), (2, 1), (4, 1)]",4254
"[(2, -3), (1, -4), (1, -3), (1, 0), (1, -2)]",v3171,"[(1, 0)]","(4, 5)","[(-1, -3), (-1, -2)]",4255
"[(4, -3), (2, -3), (2, -1), (4, 1), (3, 1), (3, 2), (3, -1), (4, -1), (2, 1), (1, -4), (0, -1), (1, -3), (1, 0), (1, -2), (3, -2)]",v3172,"[(0, -1), (1, 0)]","(9, 50)","[(1, 2), (1, 3), (2, 3), (1, 4)]",4256
"[(-1, 0), (-1, -2)]",v3173,"[(-1, 0)]","(89, -49)",[],4257
"[(-4, -1), (-3, -2), (3, -1), (-3, -1), (-2, -1), (0, -1), (-1, 0)]",v3174,"[(0, -1), (-1, 0)]","(94, -5)","[(4, -1)]",4258
"[(-3, -2), (-1, -2), (-2, -1), (-1, -3), (-2, -3), (-1, -1), (1, 0)]",v3175,"[(1, 0)]","(43, 3)","[(-3, -1)]",4259
"[(0, -1), (1, 0)]",v3176,"[(0, -1), (1, 0)]","(51, 86)",[],4260
"[(2, -3), (-3, -2), (-4, -1), (-3, -1), (1, -2), (2, -1), (-1, 0), (-1, -4), (-1, -3), (3, -2), (1, -4), (0, -1), (-4, -3), (1, -3), (1, -1), (-2, -3)]",v3177,"[(-1, 0), (0, -1)]","(79, -16)","[(3, -1), (4, -1)]",4261
"[(4, -3), (3, -2), (2, -3), (2, -1), (3, -4), (3, -1), (1, -4), (1, -3), (1, 0), (1, -2), (4, -1)]",v3178,"[(1, 0)]","(17, 12)","[(3, 1), (-1, -2), (3, 2), (-1, -3), (-2, -3), (-1, -1), (4, 1), (2, 1)]",4262
"[(-4, -1), (-3, -1), (-1, -1), (-1, -2), (-2, -3), (-3, -2), (-1, -3), (-2, -1), (-1, 0)]",v3179,"[(-1, 0)]","(36, -13)",[],4263
"[(1, 0), (2, -1)]",v3180,"[(1, 0)]","(11, 25)",[],4264
"[(-1, 0), (-1, -4), (-3, -1), (1, -1), (2, -3), (-1, -3), (-2, -3), (1, -4), (0, -1), (1, -3), (1, -2), (-4, -1)]",v3181,"[(-1, 0), (0, -1)]","(3, -2)","[(-2, 1), (-3, 1), (-4, 1)]",4265
"[(1, 0), (1, -2)]",v3182,"[(1, 0)]","(1, 11)",[],4266
"[(-4, -1), (-1, -4), (-3, -1), (-2, -3), (-1, -3), (-2, -1), (-3, -2)]",v3183,[],"(3, -2)","[(-2, 1), (2, -3), (-3, 1), (-4, 1), (1, -4), (1, -3), (1, -2)]",4267
"[(1, 0)]",v3184,"[(1, 0)]","(9, 2)","[(5, -1), (-3, -1), (7, -1), (3, -1), (5, 1), (1, -1), (4, -1), (-1, -1), (-2, -1), (2, -1), (-4, -1), (6, 1), (3, -2), (6, -1), (0, -1)]",4268
"[(5, -1), (5, -2), (2, -3), (-4, -1), (-3, -2), (-2, -1), (2, -1), (-1, -2), (3, -2), (-3, -1), (-2, -3), (3, -1), (-1, -3), (4, -3), (-1, -1), (1, -3), (1, 0), (1, -2), (4, -1)]",v3185,"[(1, 0)]","(56, 3)",[],4269
"[(-1, 1), (-3, 2), (-4, 3)]",v3186,"[(-1, 1)]","(21, -89)","[(-2, 3)]",4270
"[(1, 0)]",v3187,"[(1, 0)]","(0, 1)","[(5, -2), (5, -1), (3, 2), (3, 1), (1, -1), (6, 1), (2, -1), (1, 2), (3, -2), (6, -1), (3, -1), (2, 1), (1, -2), (1, -3), (5, 1), (4, -1), (4, 1), (1, 1)]",4271
"[(1, 0)]",v3188,"[(1, 0)]","(0, 1)","[(3, 1), (1, -1), (2, 1)]",4272
"[(3, -2), (1, -3), (1, -1), (2, -1), (2, -3), (3, -1), (0, -1), (1, 0), (1, -2), (4, -1)]",v3189,"[(0, -1), (1, 0)]","(1, 1)","[(3, 1), (2, 1)]",4273
"[(3, -1), (2, -3), (3, 1), (4, 1), (2, -1), (2, 1), (1, -2), (3, -2), (5, 1), (1, -3), (1, 0), (5, 2), (4, -1)]",v3190,"[(1, 0)]","(35, 41)","[(-1, -3), (3, 2), (-2, -3), (4, 3), (-1, -2), (1, 1)]",4274
"[(3, -2), (3, 2), (3, 1), (4, 3), (4, 1), (2, -1), (2, -3), (3, -1), (1, 1), (2, 1), (1, -4), (1, -3), (1, -2), (4, -1)]",v3191,"[(1, 1)]","(16, 33)","[(1, 2), (-1, -4), (-1, -3), (2, 3)]",4275
"[(-1, 0), (-2, -1)]",v3192,"[(-1, 0)]","(7, -15)",[],4276
"[(3, -2), (2, -3), (2, -1), (1, -3), (3, -1), (1, -4), (0, -1)]",v3193,"[(0, -1)]","(2, 1)","[(-3, -2), (3, 1), (-1, -1), (-2, -3), (-1, -3), (-1, -2), (4, 1)]",4277
"[(4, -3), (3, -2), (2, -3), (-1, 0), (1, -3), (-3, -1), (-2, -1), (-3, -2), (-1, -3), (-2, -3), (1, -4), (-1, -2), (0, -1), (3, -4)]",v3194,"[(-1, 0), (0, -1)]","(89, -23)","[(3, -1), (-4, 1)]",4278
"[(-1, 0)]",v3195,"[(-1, 0)]","(2, -1)","[(-5, 1), (-3, -2), (-1, -1), (-2, -1), (3, -2), (-3, 1), (-4, 1), (-1, -2), (0, -1), (-5, 2), (1, -2), (-3, -1)]",4279
"[(1, 0), (-1, -2)]",v3196,"[(1, 0)]","(103, 13)",[],4280
"[(-1, 0), (-1, -2)]",v3197,"[(-1, 0)]","(95, -7)",[],4281
"[(-1, 1), (-5, 1), (-4, -1), (-3, 1), (-2, -1), (-3, -2), (-4, 3), (-4, 1), (-5, 2), (-3, -1), (-3, 2), (-1, 0)]",v3198,"[(-1, 0)]","(2, -11)","[(-2, 3), (-1, 2), (-1, 3), (-1, -3), (-1, -2), (0, -1), (-2, -3)]",4282
"[(1, 0)]",v3199,"[(1, 0)]","(21, 1)","[(5, -1), (-4, -1), (-3, -1), (1, -1), (2, -1), (-2, -1), (3, -1), (6, -1), (-3, -2), (-6, -1), (3, -2), (-5, -1), (-1, -2), (0, -1), (1, -2), (4, -1)]",4283
"[(-1, 0)]",v3200,"[(-1, 0)]","(19, -5)","[(-5, 1), (-4, -1), (-6, 1), (-3, -2), (1, -2), (2, -1), (-1, -2), (3, -2), (-3, -1), (-2, -3), (-6, -1), (-4, 1), (3, -1), (-5, -2), (-2, -1), (0, -1), (1, -1), (-5, -1), (-1, -3)]",4284
"[(2, -3), (-5, -2), (-4, -1), (-3, -1), (-1, -1), (-1, 0), (-1, -2), (1, -2), (-3, -2), (-1, -3), (-2, -3), (-5, -1), (-2, -1), (1, -3), (1, -1), (0, -1)]",v3201,"[(-1, 0), (0, -1)]","(47, -11)","[(3, -1), (2, -1), (3, -2), (4, -1)]",4285
"[(4, -3), (5, -2), (2, -3), (1, -2), (5, -1), (3, -2), (4, -1), (1, -4), (1, -3), (1, 0), (0, -1), (1, -1), (3, -1)]",v3202,"[(1, 0), (0, -1)]","(22, 13)","[(4, 1), (-3, -2), (3, 1), (-1, -3), (-2, -3), (-1, -2), (2, 1)]",4286
"[(4, -3), (2, -3), (1, -2), (3, 1), (3, 2), (3, -1), (2, 1), (3, -4), (3, -2), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v3203,"[(1, 0)]","(16, 57)","[(1, 2), (1, 3), (2, 3)]",4287
"[(4, -3), (0, -1), (3, 2), (1, -2), (3, 1), (2, -3), (3, -2), (3, -4), (2, 1), (1, -4), (1, -3), (1, 0), (4, 1), (4, -1)]",v3204,"[(0, -1), (1, 0)]","(46, 71)","[(-1, -4), (-1, -3), (-1, -2), (2, 3)]",4288
"[(1, -1), (2, -1), (-1, -2), (3, -2), (3, -1), (1, 0), (1, -2), (4, -1)]",v3205,"[(1, 0)]","(3, 1)",[],4289
"[(1, -3), (2, -3), (1, -2), (1, 0)]",v3206,"[(1, 0)]","(43, 70)",[],4290
"[(-2, 1), (-4, -1), (-3, 1), (-1, -2), (-3, -2), (-1, -4), (-2, -3), (-4, 1), (-1, -3), (-5, -1), (-2, -1), (-4, -3), (-3, -1), (-3, 2), (-1, 0)]",v3207,"[(-1, 0)]","(3, -5)","[(-2, 3), (1, -3), (1, -2)]",4291
"[(-3, -2), (1, -2), (-2, -1), (3, -1), (-3, -1), (3, -2), (-5, -2), (-1, -2), (1, -3), (1, -1), (-1, -3)]",v3208,[],"(8, -1)",[],4292
"[(1, 0)]",v3210,"[(1, 0)]","(1, 1)","[(-1, -2), (2, 1)]",4293
[],v3212,[],"(1, 3)","[(1, 2), (5, -1), (3, 2), (3, 1), (4, 3), (5, 2), (6, 1), (2, -1), (3, -1), (4, 1), (3, -2), (2, 3), (2, 1), (1, -1), (1, -3), (5, 1), (1, -2), (4, -1)]",4294
"[(1, 0)]",v3213,"[(1, 0)]","(0, 1)","[(2, -1), (2, 1)]",4295
[],v3214,[],"(1, 3)","[(4, -3), (1, 2), (3, 2), (3, 1), (4, 1), (2, -1), (2, -3), (3, -2), (3, -1), (2, 3), (2, 1), (1, -4), (1, -3), (1, -2), (4, -1)]",4296
"[(-1, -1), (-3, -1)]",v3215,[],"(4, -1)",[],4297
[],v3216,[],"(4, 1)","[(-1, -2), (2, -1), (-1, -1), (3, -1), (1, -2), (1, -3), (1, -1)]",4298
"[(-1, 0)]",v3217,"[(-1, 0)]","(1, -3)","[(-2, 1), (-1, 2), (-2, -1), (-2, -3), (-1, -2), (-3, -2)]",4299
[],v3219,[],"(1, 0)","[(5, -1), (3, -2), (-5, -2), (-4, -1), (-3, -1), (-1, -1), (2, -1), (-1, -2), (3, -1), (6, -1), (-3, -2), (-1, -3), (-6, -1), (-2, -3), (-5, -1), (-2, -1), (1, -2), (1, -1), (4, -1)]",4300
[],v3221,[],"(1, 0)","[(1, -1), (2, -1), (-1, -1)]",4301
[],v3226,[],"(1, 0)","[(-1, -1), (-2, -1)]",4302
"[(3, -2), (2, -1), (-1, -1), (3, -1), (1, -2), (1, -1)]",v3228,[],"(1, 0)",[],4303
"[(-2, 1), (-4, -1), (-1, -4), (-1, -1), (-1, -2), (-3, -1), (-3, 1), (-1, -3), (-4, 1), (-2, -3), (-2, -1), (0, -1), (-3, -2), (-3, 2), (-1, 0)]",v3229,"[(0, -1), (-1, 0)]","(17, -49)","[(1, -3), (-2, 3), (-1, 2), (1, -4), (-3, 4)]",4304
"[(-3, 1), (-1, 0)]",v3230,"[(-1, 0)]","(17, -47)","[(-3, 2)]",4305
"[(0, -1), (2, -3), (-4, -1), (-3, -2), (-2, -1), (-1, 0), (-1, -2), (-1, -4), (-1, -3), (1, -4), (-1, -1), (1, -3), (1, -2), (-3, -1), (-2, -3)]",v3231,"[(0, -1), (-1, 0)]","(23, -2)","[(2, -1), (3, -1), (4, -1), (3, -2)]",4306
"[(-4, -1), (-1, -1), (-3, -2), (-5, -2), (-4, -3), (-3, -1)]",v3232,"[(-1, -1)]","(11, -18)","[(-3, -4), (-3, 1), (-2, 3), (-1, -4), (-1, -3), (-4, 1), (-2, -3), (-1, -2), (1, -3), (1, -2), (-3, 2)]",4307
"[(3, -1), (-1, -2), (-1, -1), (-1, -3), (-3, -2), (-2, -3), (-2, -1), (0, -1), (1, 0), (4, -1)]",v3233,"[(0, -1), (1, 0)]","(86, 19)","[(-4, -1), (-3, -1)]",4308
"[(5, -1), (2, -3), (-5, -2), (-4, -1), (-3, -1), (-1, -2), (2, -1), (-1, 0), (-2, -1), (3, -2), (1, -2), (-3, -2), (-1, -3), (3, -1), (-5, -1), (-1, -1), (1, -3), (1, -1), (4, -1), (-2, -3)]",v3234,"[(-1, 0)]","(42, -1)",[],4309
"[(0, -1), (-1, 0)]",v3235,"[(0, -1), (-1, 0)]","(21, -106)",[],4310
"[(1, 0)]",v3236,"[(1, 0)]","(5, 64)",[],4311
"[(-4, -1), (-3, -2), (-2, -1), (-1, -3), (-3, 1), (-4, 3), (-4, 1), (-2, -3), (-1, -2), (-5, 2), (-3, -1), (-3, 2), (-1, 0)]",v3237,"[(-1, 0)]","(46, -67)","[(2, -3), (-3, 4), (1, -4), (1, -3), (1, -2)]",4312
"[(2, -1), (3, -1), (1, 0), (4, -1)]",v3238,"[(1, 0)]","(1, 2)","[(1, 1)]",4313
"[(-1, -2), (-2, -3), (-1, -4), (-1, -3), (-1, -1), (0, -1), (1, 0), (4, -1)]",v3239,"[(0, -1), (1, 0)]","(3, 2)","[(3, 1), (2, 1), (4, 1)]",4314
"[(-4, -1), (-3, -2), (-1, -1), (-1, -2), (-2, -3), (-1, -3), (-2, -1), (-3, -1), (-1, 0)]",v3240,"[(-1, 0)]","(25, -12)","[(4, -3), (2, -3), (-5, 1), (2, -1), (3, -2), (-3, 1), (-4, 1), (1, -3), (-5, 2), (1, -2)]",4315
"[(-3, -2), (1, 0), (-2, -1)]",v3241,"[(1, 0)]","(97, 2)","[(-3, -1)]",4316
"[(-1, 0)]",v3242,"[(-1, 0)]","(2, -5)","[(-2, 1), (-3, -1), (-2, -1), (-3, -2)]",4317
"[(-3, -4), (-4, -1), (-3, -2), (-2, -1), (-1, 0), (2, -3), (-1, -4), (-2, -3), (1, -2), (-1, -2), (-4, -3), (1, -3), (1, -1), (-3, -1), (-1, -3)]",v3243,"[(-1, 0)]","(4, -1)","[(2, -1), (3, -1), (3, -2)]",4318
"[(2, -1), (2, -3), (3, -1), (-1, -3), (-2, -3), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1)]",v3244,"[(1, 0)]","(4, 3)","[(2, 1)]",4319
"[(2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, -2), (-3, -2), (-1, -3), (-5, -1), (-1, -1), (1, -3), (1, -2), (1, -1), (-1, 0)]",v3245,"[(-1, 0)]","(11, -1)",[],4320
"[(1, 0)]",v3246,"[(1, 0)]","(0, 1)","[(2, 1)]",4321
"[(2, -1), (3, -1), (1, 0), (4, -1)]",v3247,"[(1, 0)]","(0, 1)","[(1, -2), (2, 1), (1, 1)]",4322
"[(5, -1), (2, -3), (-3, -2), (-2, -1), (2, -1), (-1, -2), (3, -1), (-3, -1), (-2, -3), (3, -2), (-1, -1), (1, -3), (1, 0), (1, -2), (4, -1), (-1, -3)]",v3248,"[(1, 0)]","(13, 1)",[],4323
"[(5, -1), (5, -2), (2, -1), (3, -1), (1, -1), (4, -3), (1, 0), (4, -1), (3, -2)]",v3249,"[(1, 0)]","(13, 22)","[(2, -3), (4, 1), (3, 1), (3, 2), (2, 1), (2, 3), (-1, -3), (-1, -2), (1, -3), (1, -2)]",4324
"[(-2, 3), (-1, 2), (-1, 0), (0, -1)]",v3250,"[(-1, 0), (0, -1)]","(10, -101)","[(-1, 3)]",4325
"[(-1, 0)]",v3251,"[(-1, 0)]","(1, -2)","[(-2, 3), (-5, 1), (1, -3), (-4, -3), (-3, -2), (-3, 1), (-4, 1), (-5, -1), (-2, -1), (-3, 2), (-3, -1), (-5, -2), (-4, -1)]",4326
"[(1, 0)]",v3252,"[(1, 0)]","(3, 4)","[(3, -1), (3, 1), (1, -3), (1, -1), (2, -1), (-2, -3), (1, 1), (2, 1), (-1, -2), (1, -2), (-1, -3)]",4327
"[(-1, 0)]",v3253,"[(-1, 0)]","(15, -71)",[],4328
"[(3, 2), (1, 0)]",v3254,"[(1, 0)]","(3, 58)",[],4329
"[(3, -1), (2, -3), (2, -1), (-3, -4), (3, -2), (-1, -4), (-2, -3), (-1, -3), (1, -4), (0, -1), (1, -3), (1, -2), (4, -1)]",v3255,"[(0, -1)]","(17, 4)","[(-3, -1), (-4, -1), (-3, -2), (-4, -3)]",4330
"[(3, -1), (-3, -4), (-1, -4), (-3, -2), (3, -2), (-4, -3), (-2, -3), (-2, -1), (0, -1), (1, 0), (4, -1)]",v3256,"[(0, -1), (1, 0)]","(104, 31)","[(4, 1), (-3, -1)]",4331
"[(2, -3), (-4, -1), (-3, -1), (-2, -1), (-1, -1), (-1, -3), (-3, -2), (3, -2), (-5, -1), (-1, -2), (1, -3), (1, -2), (-1, 0)]",v3257,"[(-1, 0)]","(38, -7)","[(5, -2), (5, -1), (3, -1), (4, -1)]",4332
"[(1, 0)]",v3258,"[(1, 0)]","(25, 3)","[(5, -1), (-5, -1), (-7, -1), (-4, -1), (-3, -2), (1, -1), (2, -1), (-1, -1), (3, -2), (6, -1), (-3, -1), (-6, -1), (3, -1), (-5, -2), (-2, -1), (1, -2), (4, -1), (-1, -2)]",4333
