L_space_fillings,name,census_knot,finite_fillings,longitude,non_L_space_fillings,thurston_norm,id
"[(1, 0)]",s451,'K6_22',"[(1, 0)]","(8, 1)","[(5, -1), (2, -3), (-5, -2), (-4, -1), (-3, -2), (2, -1), (-1, -2), (3, -2), (-3, -1), (-2, -3), (-6, -1), (3, -1), (-5, -1), (-2, -1), (1, -3), (1, -2), (4, -1), (-1, -3)]",5,736
"[(0, -1), (1, 0), (1, 1)]",s452,False,"[(0, -1), (1, 0), (1, 1)]","(9, 68)",[],63,737
"[(-1, -1), (-2, -1)]",s453,False,"[(-1, -1)]","(1, -1)",[],1,738
"[(1, 0)]",s454,False,"[(1, 0)]","(1, 1)",[],1,739
"[(5, -2), (5, -1), (1, -3), (-1, -1), (-1, -3), (-2, -3), (-1, -2), (4, -1)]",s455,False,[],"(8, 3)","[(-3, -2), (-2, -1), (3, 1), (5, 1), (4, 1)]",5,740
"[(0, -1), (1, 0), (-1, -3), (-1, -2)]",s456,False,"[(0, -1), (1, 0)]","(41, 27)",[],31,741
"[(0, -1), (2, -3), (-4, -1), (-3, -1), (-1, -1), (-1, 0), (-1, -4), (-2, -3), (3, -2), (1, -4), (-2, -1), (1, -3), (-3, -2), (-1, -3)]",s457,False,"[(0, -1), (-1, -1), (-1, 0)]","(12, -1)","[(3, -1), (4, -1)]",20,742
"[(4, -3), (5, -2), (2, -3), (3, -4), (3, -2), (1, -4), (1, -3), (1, -2)]",s458,False,[],"(3, 5)","[(3, 2), (4, 1), (-1, -3), (-1, -2), (1, 1)]",7,743
"[(-5, -2), (-1, 0), (-3, -1), (-2, -1), (-1, -1), (-2, -3), (-1, -3), (-5, -1), (-1, -2), (-4, -3), (1, -3), (-3, -2), (-4, -1)]",s459,False,"[(-1, 0), (-1, -1)]","(31, -12)","[(-3, 1), (-4, 1)]",23,744
"[(5, -1), (2, -3), (-4, -1), (-3, -1), (2, -1), (1, -4), (3, -2), (-3, -2), (-1, -3), (3, -1), (-5, -1), (-2, -1), (1, -3), (1, 0), (4, -1), (-2, -3)]",s460,False,"[(1, 0)]","(31, 3)",[],17,745
"[(1, 0), (1, 1)]",s461,False,"[(1, 0), (1, 1)]","(9, 31)",[],35,746
"[(0, -1), (1, 0), (1, 1)]",s462,False,"[(0, -1), (1, 0), (1, 1)]","(37, 73)",[],77,747
"[(0, -1), (-4, -1), (-1, -4), (-3, -1), (-2, -1), (-1, -3), (-2, -3), (-1, -2), (-3, -2), (-1, 0)]",s463,False,"[(0, -1), (-1, 0)]","(1, -1)","[(2, -3), (-2, 1), (-3, 1), (-4, 1), (1, -4), (1, -3), (1, -2), (-3, 2)]",1,748
[],s464,False,[],"(0, 1)",[],1,749
"[(0, -1), (-1, 0)]",s465,False,"[(0, -1), (-1, 0)]","(8, -71)",[],61,750
"[(0, -1), (-1, 0)]",s466,False,"[(0, -1), (-1, 0)]","(27, -59)",[],57,751
"[(5, -2), (5, -1), (4, -3), (2, -3), (-1, -3), (1, -4), (-1, -2), (1, -3), (1, 0), (1, -2), (4, -1), (0, -1)]",s467,False,"[(1, 0), (0, -1)]","(24, 29)","[(3, 2), (4, 1), (3, 1), (2, 1), (1, 1), (-2, -3)]",29,752
"[(-2, 3), (-2, 1), (-4, -1), (-3, 1), (-1, 3), (-1, 2), (-3, -4), (-1, -3), (-1, -4), (-3, 2), (-2, -3), (-5, -2), (-1, -2), (-4, -3), (0, -1), (-1, 0)]",s468,False,"[(0, -1), (-1, 0)]","(8, -43)",[],29,753
"[(1, 0)]",s469,False,"[(1, 0)]","(11, 3)","[(7, 1), (-3, -1), (6, 1), (-3, -2), (-5, -2), (-2, -1), (5, 1), (4, 1)]",5,754
"[(0, -1), (-1, 0)]",s470,False,"[(0, -1), (-1, 0)]","(31, -1)",[],19,755
"[(-1, 0), (-1, -4), (-4, -3), (-1, -3), (-3, -1), (-4, -1)]",s471,False,"[(-1, 0)]","(14, -17)","[(2, -3), (-3, 2), (-2, 1), (-3, 1), (-4, 1), (1, -3), (1, -2)]",23,756
